id,name,org,city,country,lat,lon,tier,domain,maturity,charact,ai,scale,invest_musd,invest_label,start,url,sources,blurb
burke,MMLI / Burke Group,UIUC,Champaign,USA,40.11,-88.23,academic,chemistry,operational,partial,strong,NSF AI Institute,20,$20M+ (NSF),2020,https://moleculemaker.org/,https://burke-group.chemistry.illinois.edu/about/ ; https://chemistry.illinois.edu/news/2025-07-30/nsf-reinvests-molecule-maker-lab-institute-ai-tools-solve-chemistrys-challenges,"NSF-funded institute around Burke's iterative MIDA-boronate small-molecule synthesizer, closing the loop with AI agents like AlphaSynthesis."
hein,Hein Lab / Telescope,UBC,Vancouver,Canada,49.26,-123.25,academic,chemistry,operational,integrated,strong,single + vendor,,Telescope Innovations,2019,https://telescopeinnovations.com/,https://telescopeinnovations.com/ ; http://hein.chem.ubc.ca/,"UBC spinout commercialising self-driving process-chemistry platforms (IvoryOS, DirectInject-LC) for pharma, critical minerals, and Acceleration Consortium partners."
ley,Ley Group,U Cambridge,Cambridge,UK,52.21,0.12,academic,chemistry,operational,integrated,none,single,,Flow + PAT pioneer,2018,https://ley.group.ch.cam.ac.uk/,https://www.ch.cam.ac.uk/person/svl1000,"Cambridge group pioneering continuous-flow and machine-assisted synthesis for natural products and methodology, with four spinouts and 900+ publications."
doyle,Doyle Group,UCLA,Los Angeles,USA,34.07,-118.44,academic,chemistry,operational,partial,strong,single + Merck,,HTE + ML,2018,https://www.doylelab.com/,https://www.doylelab.com/ ; https://www.chemistry.ucla.edu/directory/doyle-abigail,"UCLA catalysis group fusing nickel cross-coupling, photocatalysis, and machine-learning reaction optimisation through founding roles in BioLEC and C-CAS centres."
hamilton,Hamilton Company,Hamilton,Reno,USA,39.53,-119.81,commercial,cross-domain,operational,—,none,vendor (~$815M rev),,Private,1980,https://www.hamiltoncompany.com/,https://www.hamiltoncompany.com/about-us,"Reno-based manufacturer of Microlab liquid-handling robots, process sensors, and automated sample-storage systems used across pharma and clinical labs."
opentrons,Opentrons,Opentrons Labworks,Brooklyn,USA,40.69,-73.99,commercial,cross-domain,operational,—,strong,vendor ($1.8B val),261,$261M raised,2014,https://opentrons.com/,https://en.wikipedia.org/wiki/Opentrons,Open-source liquid-handling robots and the Flex workstation plus OpentronsAI natural-language protocol design for genomics and proteomics labs.
tecan,Tecan Group,Tecan (SIX: TECN),Männedorf,Switzerland,47.25,8.72,commercial,cross-domain,operational,—,partial,vendor (CHF 934M rev),,Public (SIX),1995,https://www.tecan.com/,https://lifesciences.tecan.com/products/liquid_handling_and_automation,Swiss-listed maker of Fluent and Freedom EVO liquid-handling platforms plus OEM components for diagnostics and life-science automation.
paa,Peak Analysis & Automation,PAA (Grenova),Farnborough,UK,51.28,-0.75,commercial,cross-domain,operational,—,partial,vendor (~40 staff),,Private,1992,https://paa-automation.com/,https://grenova.com/paa-automation/ ; https://grenova.com/paa-joins-grenovas-parent-company-to-advance-lab-automation/,UK lab-automation integrator building modular robotic workcells with Overlord scheduling software for life-science and pharma throughput.
nsf_aimi,NSF AI Institute for Materials Innovation,"Cornell-led (Princeton, CCNY, BU)",Ithaca,USA,42.44,-76.5,national,materials,operational,—,strong,NSF AI Institute (4 universities),20,"$20M (NSF, 2025)",2025,https://news.cornell.edu/stories/2025/07/national-science-foundation-announces-cornell-led-ai-materials-institute,https://www.princeton.edu/news/2025/08/20/princeton-tapped-partner-new-nsf-funded-ai-materials-institute,"First NSF AI institute dedicated to materials, coordinating closed-loop autonomous experimentation across Cornell, Princeton, CCNY, and Boston University."
radical_ai,Radical AI,"Radical AI (Gerbrand Ceder, CSO)",New York,USA,40.71,-74.01,commercial,materials,operational,multi-technique,strong,startup · NY autonomous materials lab,55,"$55M seed (2025, RTX + NVIDIA)",2024,https://radical-ai.com,https://www.governor.ny.gov/news/governor-hochul-celebrates-radical-ai-establishing-new-yorks-first-fully-autonomous-materials,"AI agents coupled to a closed-loop robotic lab discovering inorganic materials, alloys, and electrolytes; CSO Gerbrand Ceder built LBNL's A-Lab."
mattiq,Mattiq,"Mattiq (ex-Northwestern, Mirkin)",Chicago,USA,41.88,-87.63,commercial,materials,operational,single-technique,strong,HTE megalibraries (millions/day),35,~$35M,2023,https://mattiq.com,https://cen.acs.org/articles/103/web/2025/11/Mattiq-quest-make-billions-nanomaterials.html,Northwestern spinout running high-throughput combinatorial megalibrary synthesis of millions of nanomaterials per day to train AI for clean-energy catalysts.
nrc_battmap,NRC BattMAP / BattPAP,National Research Council Canada,Mississauga,Canada,43.59,-79.64,national,batteries,operational,multi-technique,strong,national (Critical Battery Materials Initiative),,Federal (Critical Minerals Strategy),2023,https://nrc.canada.ca/en/research-development/research-collaboration/programs/critical-battery-materials-initiative,https://nrc.canada.ca/en/research-development/research-collaboration/programs/critical-battery-materials-initiative,National Research Council Canada self-driving labs for battery-materials discovery and critical-mineral processing under the Critical Battery Materials Initiative.
aichemy,AIChemy (UK AI for Chemistry Hub),U Liverpool + Imperial (EPSRC),Liverpool,UK,53.4,-2.97,national,chemistry,operational,multi-technique,strong,UK national hub,12,£12M EPSRC (+£19M partner),2024,https://aichemy.ac.uk,https://news.liverpool.ac.uk/2024/02/06/liverpool-and-imperial-college-london-to-lead-uks-flagship-12m-ai-for-chemistry-hub/,"£12M EPSRC national hub (Liverpool + Imperial) developing AI-planned robotic and autonomous chemistry, including mobile robot scientists for exploratory synthesis."
dunia,Dunia Innovations,"Dunia (GigaLab, Berlin)",Berlin,Germany,52.52,13.4,commercial,energy,operational,multi-technique,strong,"Berlin GigaLab (€280M, ops 2028)",280,€10.6M seed · €280M GigaLab,2022,https://dunia.ai,https://tech.eu/2026/05/20/dunia-innovations-unveils-eur280m-berlin-gigalab-to-industrialise-ai-driven-materials-discovery/,"Self-driving labs running the full design-make-test-analyse loop for electrocatalyst, battery, and CO2-conversion materials, scaling to a €280M Berlin GigaLab."
aurora_kth,AURORA (KTH),KTH Royal Institute of Technology,Stockholm,Sweden,59.35,18.07,academic,materials,operational,multi-technique,strong,single robotic platform (perovskites),,—,2025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12067375/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12067375/,"Modular robotic platform integrating automated synthesis, characterisation, and evaluation, demonstrated on metal-halide perovskites."
celest_kit,CELEST Autonomous Battery Lab,KIT + Ulm + HIU,Ulm,Germany,48.4,9.99,academic,batteries,operational,single-technique,strong,fully automated battery lab,,—,2022,https://www.kit.edu/kit/english/pi_2022_011_battery-research-first-fully-automatic-laboratory-starts-operation.php,https://www.kit.edu/kit/english/pi_2022_011_battery-research-first-fully-automatic-laboratory-starts-operation.php,"Fully automated, AI-planned battery-materials lab that autonomously synthesises, assembles, and cycles cells."
epfl_liac,EPFL Self-Driving Lab (LIAC),EPFL (ISIC / LIAC),Lausanne,Switzerland,46.52,6.57,academic,materials,operational,single-technique,strong,single platform (nano/advanced materials),,—,2022,https://www.epfl.ch/labs/liac/,https://pubs.acs.org/doi/10.1021/acsnano.4c17504,Self-driving platform for nano- and advanced-materials synthesis with active-learning optimisation.
chemlex,ChemLex,ChemLex (Sean Lin),Singapore,Singapore,1.31,103.8,commercial,drug-discovery,operational,single-technique,strong,24/7 robotic synthesis (~800 rxn/day),45,"$45M (2025, Granite Asia)",2022,https://chemlex.com,https://technode.global/2025/12/08/ai-for-science-startup-chemlex-raises-45m-launching-self-driving-lab-for-drug-discovery-in-singapore/,24/7 fully automated robotic synthesis line (~800 reactions/day) coupling AI to wet-lab chemistry for drug discovery.
riken_maholo,RIKEN / IST Maholo SDL,RIKEN BDR + Inst. Science Tokyo (JST),Kobe,Japan,34.69,135.2,national,materials,operational,multi-technique,strong,JST AI-Robot-Driven Science SDL,7,~¥1.1B (~$7.3M JST),2022,https://www.riken.jp/en/,https://pubs.rsc.org/en/content/articlehtml/2025/dd/d4dd00387j,"JST-funded national self-driving lab (Maholo robotic-arm platform) for closed-loop materials discovery, with a prototyping lab at RIKEN BDR Kobe and a demonstrator at Institute of Science Tokyo."
aist_autokobo,AIST AUTOkobo,AIST (Multi-Modal AI project),Tsukuba,Japan,36.06,140.13,national,cross-domain,operational,multi-technique,strong,AIST-wide (7 departments),,—,2023,https://www.aist.go.jp/index_en.html,https://pubs.rsc.org/en/content/articlehtml/2025/dd/d4dd00387j,"AIST's Multi-Modal AI lab-automation initiative for autonomous experimentation, now spanning all seven AIST research departments."
kims_alloy,KIMS Autonomous Alloy Lab,Korea Institute of Materials Science,Changwon,Korea,35.23,128.68,academic,materials,operational,single-technique,strong,closed-loop alloy discovery (RL + XRD),,—,2025,https://www.kims.re.kr/?lang=en,https://pubs.rsc.org/en/content/articlehtml/2026/dd/d6dd00024j,Closed-loop alloy discovery (arc-melting to annealing to XRD) with reinforcement-learning optimisation.
kier_smartlab,KIER Smart Laboratory,Korea Institute of Energy Research,Daejeon,Korea,36.39,127.39,academic,energy,operational,single-technique,strong,24h autonomous energy-materials lab,,—,2026,https://www.kier.re.kr/eng,https://pubs.rsc.org/en/content/articlehtml/2026/dd/d6dd00024j,"24-hour autonomous synthesis, analysis, and XRD for safety-critical energy and catalyst materials."
megarobo,MegaRobo 镁伽科技,MegaRobo Technologies,Beijing,China,39.9,116.4,commercial,cross-domain,industrial,—,partial,smart-lab robotics (China #1 by revenue),300,~$300M (Series C/D),2019,https://en.megarobo.com/,https://www.crunchbase.com/organization/megarobo,"China's largest smart-lab robotics company, building autonomous agents that run real experiments across life sciences, chemistry, and energy materials."
futurehouse,FutureHouse / Edison Scientific,FutureHouse (nonprofit) + Edison,San Francisco,USA,37.77,-122.42,commercial,biology,prototype,single-technique,strong,AI-scientist agents + robotic wet lab (Robin),70,"$70M (Edison, 2025, ~$250M val)",2023,https://www.futurehouse.org/,https://techcrunch.com/2025/05/01/futurehouse-releases-ai-tools-it-claims-can-accelerate-science/,AI-scientist agent stack (the Robin multi-agent discovery system) coupled to its own robotic wet lab; for-profit spinout Edison.
ascend,ASCEND,HZB + Fritz Haber Inst. (MPG),Berlin,Germany,52.43,13.53,national,chemistry,concept,multi-technique,strong,AI closed-loop catalyst SDLs + digital twins,32,€30M / 5 yrs (BMFTR),2026,https://ascend-project.berlin/,https://ascend-project.berlin/news/a-new-era-in-catalysis-ascend-launch-in-berlin-e30-million-in-funding/ ; https://www.helmholtz-berlin.de/,"BMFTR-funded consortium led by Helmholtz-Zentrum Berlin and the Fritz Haber Institute (with BASF, Siemens Energy, Dunia Innovations, and TU Berlin/BasCat) running AI-guided self-driving labs, high-throughput characterisation, and digital twins to accelerate catalyst discovery for sustainable chemistry."
tsinghua-yaghi,AI-Assisted Materials Discovery Institute,Tsinghua University (Omar Yaghi),Beijing,China,40,116.33,national,materials,concept,—,strong,national · Nobel-laureate-led (announced 2026),,—,2026,https://www.tsinghua.edu.cn/en/info/1244/14984.htm,https://www.tsinghua.edu.cn/en/info/1244/14984.htm ; https://www.nature.com/articles/d41586-026-02143-x ; https://www.nytimes.com/2026/07/09/science/nobel-winning-us-chemist-will-move-to-china-to-lead-ai-institute.html,"Institute announced in 2026 at Tsinghua University, to be led by Nobel laureate Omar Yaghi, pairing AI with reticular chemistry for materials discovery; at concept stage, with no facility details public yet."
nsf_pcl,NSF PCL Test Bed,NSF + Astera Institute,"State College, PA",USA,40.7934,-77.86,national,cross-domain,concept,multi-technique,strong,20 teams,400,$400M,2026,https://www.nsf.gov/tip/updates/nsf-announces-400m-investment-new-national-network-ai,https://www.nsf.gov/tip/updates/nsf-announces-400m-investment-new-national-network-ai ; https://www.nsf.gov/funding/opportunities/pcl-test-bed-test-bed-toward-network-programmable-cloud-laboratories ; https://www.psu.edu/news/research/story/penn-state-awarded-20m-lead-nsf-programmable-cloud-laboratory,"NSF national network of AI-enabled programmable cloud laboratories: ~$380M to 20 teams over four years plus Astera Institute matching, anchored by nodes like Penn State's LATTICE thin-film SDL with Argonne."
solve,SOLVE Chemistry,SOLVE Chemistry Ltd,London,UK,51.5099,-0.2246,commercial,chemistry,operational,single-technique,strong,flow SDL,4,£4M,2024,https://www.solvechemistry.com/,https://www.solvechemistry.com/ ; https://www.linkedin.com/company/solve-chemistry/,London SDL flow lab pairing online-UHPLC high-throughput experimentation with Bayesian optimisation for predictive process chemistry and right-first-time scale-up.
matter,Matter Lab,University of Toronto / Vector Institute,Toronto,Canada,43.6629,-79.3957,academic,cross-domain,operational,—,strong,ChemOS origin,,—,2017,http://matter.toronto.edu,https://mission-innovation.net/press-release-materials-workshop-report/ ; https://www.science.org/doi/10.1126/scirobotics.aat5559 ; https://pubs.acs.org/acscii/article/4/2/144/733253/The-Matter-Simulation-R-evolution,"Alán Aspuru-Guzik's group; originated the modern SDL field with ChemOS (2017) and spun out Kebotix, Atinary, and the Acceleration Consortium."
imdea,IMDEA Materials SDL,IMDEA Materials Institute,Getafe (Madrid),Spain,40.3078,-3.7264,academic,materials,operational,—,partial,6 groups served,,—,2022,https://materials.imdea.org/,https://www.youtube.com/watch?v=tWub0OgBGhE,"Haranczyk group self-driving lab for automated polymer processing (melt and solution workflows), serving six Madrid research groups and the Materials-Commons EU network."
ewha_imms,Ewha IMMS Self-Driving Lab,Ewha Womans University / IMMS (NRL 2.0),Seoul,Korea,37.5685,126.9506,national,materials,operational,multi-technique,strong,330 m² · 10 workstations · 5 material classes,83,KRW 114B (~$83M) / 10 yrs · MSIT+MOE+Ewha,2025,https://imms.ewha.ac.kr/en/,https://imms.ewha.ac.kr/en/news/83 ; https://www.hankyung.com/article/2026072665561,"Korea's MSIT / NRL 2.0 national research laboratory at Ewha Womans University (director Hoi Ri Moon); a 330 m² self-driving lab with ten function-based workstations across five material classes, a Bayesian-optimisation and LLM-agent decision layer, moving to open-access user operation from 2028."
iprd,IPRD,Institute of Process Research and Development,Leeds,UK,53.8,-1.54,academic,chemistry,operational,multi-technique,strong,IPRD Lab (650 m2),,>£15M / 5 years,2012,https://eps.leeds.ac.uk/chemical-engineering-innovative-manufacturing-products/doc/research-spotlight-3,https://doi.org/10.1002/ange.202214511 ; https://doi.org/10.1016/j.cej.2022.138443,"Institute of Process Research and Development, University of Leeds."
swiss_cat+,Swiss Cat+,"EPFL, ETHZ",Lausanne,Switzerland,46.51,6.56,academic,chemistry,operational,single-technique,strong,"High throughput analytical platform (LC, LC-PREP, SQ-MS, IM-Q-TOF, MIR & FIR FT-IR, Chiral-SFC, 400 MHz NMR, desktop NMR)",,—,2020,https://www.epfl.ch/research/facilities/swisscat/,https://www.epfl.ch/research/facilities/swisscat/publications-patents-conference-participation/ ; https://ch.linkedin.com/company/swisscatpluseast ; https://www.chimia.ch/chimia/article/view/2023_154,"ETH Domain-funded national catalysis infrastructure jointly operated by EPFL and ETH Zurich, combining robotic high-throughput experimentation, AI-guided experimental design, and automated workflows to enable self-driving laboratories for catalyst discovery and optimization across homogeneous and heterogeneous catalysis."
odacell,ODACell,Ångström Advanced Battery Centre (ÅABC) · Uppsala University,Uppsala,Sweden,59.8383,17.647,academic,batteries,operational,single-technique,strong,single robotic platform,,—,2022,https://github.com/jyik/ODACell,https://doi.org/10.1016/j.xcrp.2025.102548 ; https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-578031 ; https://doi.org/10.5281/zenodo.14191482,"Self-driving battery laboratory developed at Uppsala University's Ångström Advanced Battery Centre, integrating automated electrolyte formulation, robotic coin-cell assembly, in-line cycling, computer vision, and Bayesian optimization for closed-loop electrolyte discovery."
empa_aurora,Aurora (Empa),"Empa (Battaglia Lab, Materials for Energy Conversion)",Duebendorf,Switzerland,47.4,8.61,academic,batteries,operational,multi-technique,strong,>1200 cycler channels,,—,2022,https://www.empa.ch/econversion,https://doi.org/10.1002/batt.202500155 ; https://pubs.rsc.org/doi/d5dd00567a ; https://zenodo.org/records/15481956,"Battaglia Lab's autonomous robotic battery-materials platform automating electrolyte formulation, cell assembly, and cycling on >1200 cycler channels, with ontologized FAIR data management."
empa_ophelia,Ophelia (Empa),"Empa (Battaglia Lab, Materials for Energy Conversion)",Duebendorf,Switzerland,47.42,8.63,academic,energy,operational,multi-technique,strong,8 parallel CO2 electrolysis reactors,,—,2024,https://www.empa.ch/econversion,https://doi.org/10.1038/s41929-024-01172-x ; https://www.empa.ch/web/s604/parallel-co2-electrolysis,"Battaglia Lab platform running 8 parallel CO₂-electrolysis reactors for gas-diffusion electrodes with automated online gas and liquid product analysis, published as an open blueprint."
ares_afrl,ARES (AFRL),US Air Force Research Laboratory (Maruyama),"Dayton, OH",USA,39.78,-84.05,national,materials,operational,single-technique,strong,ARES OS infrastructure package,,—,2016,https://afresearchlab.com/,https://doi.org/10.1038/npjcompumats.2016.31 ; https://doi.org/10.1038/s41570-026-00847-2,"The Air Force Research Laboratory's Autonomous Research System (Maruyama): ARES OS was the first major infrastructure package for SDL deployment, demonstrated on autonomous carbon-nanotube growth."
cameo_nist,CAMEO (NIST),NIST (Kusne) + synchrotron beamlines,"Gaithersburg, MD",USA,39.14,-77.22,national,materials,operational,multi-technique,strong,beamline-scale autonomous phase mapping,,—,2020,https://www.nist.gov/,https://doi.org/10.1038/s41467-020-19597-w ; https://doi.org/10.1038/s41570-026-00847-2,"NIST's closed-loop autonomous system (Kusne) running Bayesian phase mapping jointly with property optimisation live on synchrotron beamlines, with opt-in human collaboration."
minerva_bam,MINERVA (BAM),BAM Berlin (Ruehle junior research group),Berlin,Germany,52.43,13.23,national,materials,operational,multi-technique,strong,7 materials across 5 nanomaterial classes,,—,2025,https://www.bam.de/Content/EN/Standard-Articles/About-us/Jobs-and-Careers/Young-Science/project-group-ruehle-self-driving-lab-advanced-materials.html,https://doi.org/10.1021/acsnano.4c17504 ; https://doi.org/10.1038/s41570-026-00847-2,"BAM's modular robotic platform (Rühle group) for synthesis, purification, and in-line characterisation of nano- and advanced materials (seven materials across five classes), with ELN/LIMS integration via OpenBIS."
bear_bu,"BEAR (Brown Lab, BU)",Boston University (Keith A. Brown / KABlab),"Boston, MA",USA,42.35,-71.11,academic,materials,operational,integrated,strong,mechanical-design SDL (additive mfg),,—,2020,https://www.kablab.org/,https://doi.org/10.1126/sciadv.aaz1708 ; https://doi.org/10.1038/s41570-026-00847-2,"Keith Brown's Bayesian experimental autonomous researcher: closed-loop additive manufacturing and mechanical-design experiments, one of the field's flagship SDL architectures."
maosic_cuhksz,MAOSIC (CUHK-Shenzhen),CUHK-Shenzhen / AIRS (Xi Zhu),Shenzhen,China,22.69,114.21,academic,materials,prototype,single-technique,strong,first cloud-SDL demonstration,,—,2020,https://airs.cuhk.edu.cn/en/team/xizhu,https://doi.org/10.1038/s41467-020-15728-5 ; https://doi.org/10.1038/s41570-026-00847-2,"The first cloud-SDL demonstration: Xi Zhu's materials acceleration operating system in cloud, which autonomously discovered chiral inorganic perovskite nanocrystals via remote collaboration."
hip_ntu,AI4Mat Initiative | Hip Lab,NTU Singapore (Kedar Hippalgaonkar),Singapore,Singapore,1.34,103.68,academic,materials,operational,multi-technique,strong,AI + robotics + agentic high-throughput experiments,26,S$35M (MTI + Mat-GDT),2018,https://www.ntu.edu.sg/mse/research/ai-for-materials-initiative,https://ai4science.sg/ ; https://www.a-star.edu.sg/imre/research-departments/electronic-materials-department/accelerated-catalyst-development-platform-(acdp),"Kedar Hippalgaonkar's initiative integrating AI, robotics, and agentically driven high-throughput experiments for functional energy and electronic materials, backed by a S$25M MTI Programmatic Award and the S$10M Mat-GDT platform."
chemtech,ChemTech Lab,University of Nottingham (Connor Taylor),Nottingham,UK,52.94,-1.2,academic,cross-domain,operational,multi-technique,strong,drug-discovery + process-development SDL,3,£2M (RAEng fellowship),2025,https://chemtech.dev/,https://raeng.org.uk/programmes-and-prizes/programmes/uk-grants-and-prizes/support-for-research/research-awardees/research-fellowships-awardees/2024-2029/dr-connor-taylor/ ; https://pmc.ncbi.nlm.nih.gov/articles/PMC10214532/,"Connor Taylor's self-driving laboratory for drug discovery and chemical process development, funded through a £2M RAEng research fellowship."
maitena,MAITENA (CIC energiGUNE),CIC energiGUNE,Vitoria-Gasteiz,Spain,42.94,-2.66,academic,energy,operational,multi-technique,partial,automated inorganic synthesis + XRD/electrochemistry,,—,2024,https://cicenergigune.com/en,https://cicenergigune.com/es/noticias/cicenergigune-descubrimiento-nuevos-inteligencia-artificial ; https://doi.org/10.1039/d4dd00381k ; https://doi.org/10.1107/S1600576724006885,"Automation and AI platform for inorganic energy materials combining automated co-precipitation, solvothermal, and sol-gel synthesis with XRD and electrochemical characterisation and active-learning experiment design."
qpillars,QPillars,QPillars GmbH,Zurich,Switzerland,47.38,8.52,labos,orchestration,operational,—,strong,agent-ready instrument layer (MCP + SiLA 2 drivers),,—,2024,https://qpillars.com/,https://sila-standard.com/interview-with-iacob-marian-from-qpillars/,"Zurich startup making lab instruments agent-ready through MCP servers and SiLA 2 drivers, so AI copilots can turn natural-language requests into validated, reproducible instrument workflows."
szsynbio,Shenzhen Synthetic Biology Infrastructure,CAS SIAT,Shenzhen,China,22.74,113.92,national,biology,operational,multi-technique,strong,national facility,,National major RI,2023,https://infrasynbio.siat.ac.cn/en,https://www.siat.ac.cn/cxpt/202412/t20241214_7458457.html ; https://www.siat.ac.cn/symt/202604/t20260416_8186608.html,"CAS SIAT-led national major science infrastructure at Guangming Science City: modular fully-automated workcells running the synthetic-biology design-build-test-learn loop at high throughput, open to academic and industrial users."
zju-bmi,ZJU iBioFoundry + iChemFoundry,Zhejiang University Hangzhou Innovation Center,Hangzhou,China,30.21,120.25,academic,cross-domain,operational,multi-technique,strong,"300+ instruments · 14,000 m²",,ZJU + Hangzhou,2020,https://hic.zju.edu.cn/ibct/58279/list.htm,https://hic.zju.edu.cn/ibct/58279/list.htm ; http://hic.zju.edu.cn/82840/list.htm,"Zhejiang University's twin automated science installations at the Hangzhou Innovation Center — a synthetic-biology iBioFoundry and a molecular-manufacturing iChemFoundry, 300+ instruments across 14,000 m², operated as shared platforms."
aithyra,AITHYRA,Austrian Academy of Sciences (ÖAW) · Vienna BioCenter,Vienna,Austria,48.19,16.4,academic,biology,prototype,single-technique,strong,AI-driven robotics lab · 100 m² phase I → 400 m² phase II · 10–14 groups,150,€150M / 12 yrs (Boehringer Ingelheim Stiftung),2024,https://aithyra.at/,https://aithyra.at/research/research-at-aithyra ; https://aithyra.at/research/groups/wali-malik ; https://boehringer-ingelheim-stiftung.de/en/what-we-fund/funding-initiatives/aithyra-institute.html,"Austrian Academy of Sciences institute for biomedical AI under founding director Michael Bronstein, building a closed-loop AI-driven robotics lab: vision-enabled liquid handlers, self-teaching robotic arms, and sensor-rich work cells under an AI orchestration layer, with 100 m² in phase I at the Marxbox and 400 m² in the purpose-built Vienna BioCenter building."
allen_biodesign,AI BioDesign (Allen Institute),Allen Institute + UW + Fred Hutch · Fund for Science and Technology,Seattle,USA,47.62,-122.34,academic,biology,operational,single-technique,strong,accelerator · massively parallel in-tube libraries (scale not from robotics),95,$95M (FFST),2026,https://alleninstitute.org/,https://alleninstitute.org/news/ai-biodesign-accelerator-combines-experimental-biology-and-artificial-intelligence-to-learn-natures-design-rules ; https://www.eurekalert.org/news-releases/1141802,"Open-science accelerator with the University of Washington and Fred Hutch designing proteins and genes that do not exist in nature; bench teams run massively parallel library experiments while a machine-learning team chooses each next round, scored on how much the models improved. Scale comes from parallelising inside the test tube rather than from robotics."
circulab,CircuLab,Stockholm University · WISE Research Technology Platform,Stockholm,Sweden,59.37,18.05,academic,materials,operational,multi-technique,strong,"4 clusters · ~20 instruments · open to academia, start-ups, industry",,WISE + Stockholm University (part of SEK 136M over 4 platforms),2024,https://wise-materials.org/platform/circulab,https://wise-materials.org/platform/circulab ; https://www.su.se/english/news/articles/2026-08-17-launch-of-the-wise-research-technology-platfrom-circulab ; https://www.su.se/english/news/articles/2024-01-17-sek-136-millions-granted-to-materials-research-at-stockholm-university,"WISE Research Technology Platform at Stockholm University for circular and sustainable materials: automated synthesis and processing, real-time monitoring of emissions, hazardous chemicals and physicochemical change, and ML plus Bayesian-optimisation decision making across four clusters and about 20 instruments; open to academia, start-ups, and industry."
bessy3,BESSY III,Helmholtz-Zentrum Berlin (HZB),Berlin,Germany,52.43,13.53,national,materials,concept,advanced-multimodal,planned,4th-gen soft X-ray source · CDR 2027 · operations mid-2030s,900,"≈€900M construction (est., 2020 prices)",2022,https://www.helmholtz-berlin.de/forschung/quellen/bessy3/index_en.html,https://www.helmholtz-berlin.de/media/landing/bessy3/index.html ; https://jacow.org/icalepcs2023/papers/mo2ao04.pdf ; https://pmc.ncbi.nlm.nih.gov/articles/PMC10119534,"HZB's 4th-generation soft-to-tender X-ray source for Berlin-Adlershof, planned from the ground up around intelligent autonomous experimentation, AI-supported sample synthesis and handling, and FAIR data, with synthesis and characterisation laboratories on the same integrated research campus; CDR due 2027, construction from 2032, operations mid-2030s."
